id;pregunta;a;b;c;d;correcta;tema;doc;categoria_ope;fuente;fecha_incorporacion;aciertos;apariciones;porcentaje_aciertos
1;Senale la respuesta INCORRECTA en relacion con el consentimiento informado:.;Debe ser un proceso continuo y dinamico.;Debe ser otorgado de forma voluntaria y libre.;Debe basarse en la informacion proporcionada por el medico.;Debe ser firmado por el paciente siempre, independientemente de la intervencion.;D;Bioetica;examen 2;otros;original;2025-09-18;0;0;0
2;Consentimiento informado por representacion (INCORRECTO):.;Paciente incapaz de decisiones.;Paciente incapacitado legalmente.;Menor de 12-16 anos sin comprension.;Menores emancipados o ?16 anos no incapacitados.;D;Bioetica;navarra2021;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
3;Cual de las siguientes situaciones NO requiere consentimiento informado por escrito?;Participacion en un ensayo clinico.;Realizacion de una intervencion quirurgica.;Exploracion fisica rutinaria.;Realizacion de una prueba diagnostica invasiva.;C;Bioetica;navarra2021;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
4;Cual de las siguientes situaciones NO requiere obtener el consentimiento informado del paciente?;Investigacion biomedica.;Procedimientos con fines docentes.;Actuaciones de salud publica.;Intervenciones quirurgicas.;C;Bioetica;navarra2021;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
5;ENCUESTA DE SALUD (ES CAPV-2013). OBJETIVO EN OBESIDAD 2020 PARA HOMBRES Y MUJERES:.;5.00%;10.00%;15.00%;20.00%;B;Enfermedades Infecciosas;examen 1;otros;original;2025-09-18;0;0;0
6;FIEBRE Q. LA COXIELLA BURNETII ES UNA BACTERIA DE PRESENTACION INTRACELULAR OBLIGADA MIEMBRO DE LA FAMILIA COXIELLACEAE RELACIONADA TAXONOMICAMENTE CON:.;Virus de las hepatitis;Virus de la gripe;Legionela;Estreptococo del grupo A;C;Enfermedades Infecciosas;examen 1;otros;original;2025-09-18;0;0;0
7;HEPATITIS A. PROFILAXIS PRE-EXPOSICION INDICADA EN:.;Centros escolares de ninos con panales;Contactos intimos de un caso aislado;Manipuladores de alimentos;Receptores de hemoderivados;D;Enfermedades Infecciosas;examen 1;otros;original;2025-09-18;0;0;0
8;SEGUN EL PROYECTO SENIC. CUAL ES EL PORCENTAJE DE INFECCIONES NOSOCOMIALES QUE PODRIAN EVITARSE SI SE ADOPTASEN PROGRAMAS EFICACES DE CONTROL DE LA INFECCION?;10.00%;23.00%;32.00%;40.00%;C;Enfermedades Infecciosas;examen 1;otros;original;2025-09-18;0;0;0
9;LA PRIMERA ESTRATEGIA MULTIFACTORIAL FORMATIVA Y DE APLICACION DE LAS GUIAS DE PREVENCION DE LAS IRAS (INFECCIONES RELACIONADAS CON LA ASISTENCIA SANITARIA) QUE SE COMENZO A APLICAR EN LOS HOSPITALES DE AGUDOS FUE:.;Neumonia zero;Flebitis zero;Bacteriemia zero;Resistencia zero;C;Enfermedades Infecciosas;examen 1;otros;original;2025-09-18;0;0;0
10;QUE PRECAUCIONES SE DEBEN ADOPTAR CUANDO SE AISLA UN VIRUS RESPIRATORIO SINCITIAL EN NINOS O LACTANTES?;Precauciones aereas;Precauciones por gotas;Precauciones de contacto;Precauciones entericas;C;Enfermedades Infecciosas;examen 1;otros;original;2025-09-18;0;0;0
